BE,CPS
82.24,2054.65
82.22,2047.64
82.2,2047.35
82.18,2050.79
82.16,2049.15
82.14,2078.3
82.12,2072.14
82.1,2051.32
82.08,2035.41
82.06,2039.34
82.04,2010.22
82.02,2013.58
82,2008.33
81.98,2003.37
81.96,2002.35
81.94,1986.79
81.92,2016.43
81.9,1984.85
81.88,1968.71
81.86,1994.79
81.84,1999.43
81.82,1967.71
81.8,1961.46
81.78,1960.58
81.76,1974.91
81.74,1951.45
81.72,1952.54
81.7,1927.76
81.68,1977.78
81.66,1966.69
81.64,1924.6
81.62,1934.47
81.6,1938.18
81.58,1940.83
81.56,1935.81
