BE,CPS
82.8,4068.12
82.78,3999.4
82.76,4005.76
82.74,4005.85
82.72,3938.59
82.7,3908.22
82.68,3908.15
82.66,3896.19
82.64,3840.12
82.62,3875.8
82.6,3841.35
82.58,3826.45
82.56,3773.73
82.54,3761.85
82.52,3746.06
82.5,3755.65
82.48,3739.68
82.46,3718.74
82.44,3721.84
82.42,3695.24
82.4,3655.12
82.38,3616
82.36,3639.59
82.34,3640.55
82.32,3654.41
82.3,3648.2
82.28,3603.88
82.26,3581.84
82.24,3570.35
82.22,3589.71
82.2,3603.53
82.18,3562.19
82.16,3574.68
82.14,3572.82
82.12,3554.38
82.1,3540.1
82.08,3541.22
82.06,3506.95
82.04,3503.89
82.02,3515.17
82,3499.21
81.98,3498.32
81.96,3482.61
81.94,3450.69
81.92,3482.69
81.9,3444.51
81.88,3434.39
81.86,3461.84
81.84,3420.15
81.82,3432.91
81.8,3416.93
81.78,3417.42
81.76,3426.51
81.74,3427.48
81.72,3386.68
81.7,3417.85
81.68,3382.9
81.66,3383.21
81.64,3421.1
81.62,3401.21
81.6,3342.55
81.58,3352.22
81.56,3328.5
81.54,3352.29
81.52,3332.44
81.5,3324.83
81.48,3335.83
