BE,CPS_Background_substract
82.36,339.97
82.34,341.35
82.32,355.64
82.3,349.86
82.28,305.92
82.26,284.23
82.24,273.07
82.22,292.79
82.2,306.99
82.18,265.98
82.16,278.81
82.14,277.29
82.12,259.17
82.1,245.19
82.08,246.61
82.06,212.6
82.04,209.8
82.02,221.35
82,205.64
81.98,205
81.96,189.53
81.94,157.8
81.92,190.03
81.9,152.04
81.88,142.1
81.86,169.75
81.84,128.22
81.82,141.15
81.8,125.33
81.78,125.97
81.76,135.23
81.74,136.37
81.72,95.68
81.7,127.01
81.68,92.17
81.66,92.6
81.64,130.65
81.62,110.89
81.6,52.3
81.58,62.04
81.56,38.37
81.54,62.24
81.52,42.44
81.5,34.87
81.48,45.93
