BE,CPS
82.24,1254.42
82.22,1240.92
82.2,1227.94
82.18,1217.73
82.16,1205.34
82.14,1204.32
82.12,1207.04
82.1,1205.23
82.08,1188.05
82.06,1202.72
82.04,1215.83
82.02,1181.17
82,1177.85
81.98,1171.9
81.96,1175.5
81.94,1148.7
81.92,1172.42
81.9,1165.87
81.88,1165.63
81.86,1167.08
81.84,1164.92
81.82,1156.12
81.8,1148.22
81.78,1138.85
81.76,1162.63
81.74,1141.18
81.72,1161.61
81.7,1171.08
81.68,1134.98
81.66,1134.51
81.64,1131.78
81.62,1116.35
81.6,1123.92
81.58,1138.73
81.56,1136.55
